index,Our model,Baseline
,"dogs = 1, cat = 0","dogs = 1, cat = 0"
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,0,0
11,1,1
12,1,1
13,1,1
14,0,1
15,0,1
16,1,1
17,1,1
18,0,0
19,0,0
20,1,1
21,1,0
22,1,1
23,0,1
24,1,1
25,1,0
26,0,1
27,1,1
28,1,1
29,1,0
30,1,1
31,1,0
32,0,1
33,1,1
34,0,1
35,1,0
36,1,0
37,1,1
38,1,0
39,0,0
40,1,0
41,0,1
42,1,1
43,1,0
44,0,0
45,1,1
46,1,1
47,0,0
48,1,0
49,0,1
50,1,1
51,1,0
52,0,1
53,1,1
54,1,0
55,1,1
56,1,0
57,1,1
58,1,1
59,1,1
60,0,1
61,1,1
62,1,0
63,0,1
64,1,0
65,1,1
66,1,1
67,1,1
68,1,1
69,1,1
70,1,0
71,1,1
72,0,0
73,0,0
74,1,1
75,1,0
76,1,0
77,1,1
78,1,1
79,1,1
80,1,1
81,1,1
82,1,1
83,1,1
84,1,0
85,1,1
86,1,0
87,1,0
88,1,1
89,1,1
90,1,1
91,1,1
92,1,1
93,1,1
94,1,0
95,1,1
96,1,1
97,1,1
98,1,1
99,1,1
100,1,1
101,1,1
102,1,1
103,1,0
104,1,0
105,1,1
106,1,1
107,0,0
108,1,1
109,1,1
110,1,0
111,1,1
112,1,1
113,1,0
114,1,1
115,0,0
116,1,1
117,1,1
118,1,1
119,0,1
120,0,1
121,1,0
122,1,1
123,1,0
124,1,1
125,1,1
126,0,0
127,1,0
128,0,1
129,1,0
130,1,0
131,1,1
132,1,1
133,1,1
134,1,1
135,1,1
136,1,1
137,1,1
138,1,0
139,0,0
140,1,1
141,1,1
142,1,1
143,1,1
144,0,0
145,1,1
146,0,1
147,1,0
148,1,0
149,1,0
150,0,1
151,1,1
152,1,0
153,1,0
154,1,1
155,0,0
156,0,0
157,1,0
158,1,1
159,1,0
160,0,0
161,1,0
162,1,0
163,1,0
164,1,1
165,1,1
166,1,1
167,0,0
168,1,1
169,1,1
170,1,1
171,0,1
172,0,1
173,1,1
174,0,0
175,1,0
176,0,0
177,1,1
178,1,1
179,1,1
180,1,1
181,0,0
182,1,1
183,1,1
184,1,1
185,1,1
186,1,1
187,1,1
188,1,0
189,1,1
190,1,1
191,1,1
192,1,1
193,1,1
194,1,1
195,1,0
196,0,0
197,0,1
198,1,0
199,1,1
200,0,0
201,1,1
202,1,1
203,1,1
204,1,0
205,1,1
206,1,1
207,1,1
208,0,1
209,1,1
210,1,1
211,0,1
212,0,1
213,1,1
214,1,1
215,0,0
216,1,1
217,1,0
218,1,1
219,1,1
220,0,1
221,1,1
222,1,0
223,1,0
224,1,1
225,1,1
226,1,0
227,1,1
228,1,1
229,1,1
230,1,1
231,1,1
232,1,1
233,1,0
234,0,1
235,1,1
236,1,1
237,0,0
238,1,1
239,0,1
240,1,1
241,1,1
242,1,1
243,1,1
244,0,0
245,1,1
246,1,1
247,0,0
248,1,1
249,1,1
250,1,1
251,0,1
252,0,0
253,1,1
254,1,1
255,1,0
256,1,0
257,1,1
258,1,1
259,1,0
260,1,1
261,1,1
262,1,1
263,1,1
264,1,1
265,0,1
266,1,1
267,1,1
268,0,0
269,0,1
270,1,1
271,0,1
272,1,1
273,1,1
274,1,0
275,1,0
276,0,1
277,1,1
278,1,1
279,1,1
280,1,0
281,1,1
282,1,1
283,1,1
284,1,1
285,0,0
286,1,1
287,1,1
288,1,0
289,1,1
290,1,0
291,1,1
292,1,0
293,1,0
294,1,0
295,1,1
296,1,1
297,1,1
298,1,0
299,1,1
300,0,0
301,1,0
302,0,1
303,1,1
304,0,0
305,0,0
306,1,1
307,1,1
308,1,1
309,1,0
310,1,0
311,1,1
312,1,1
313,1,0
314,1,0
315,1,1
316,1,1
317,1,1
318,1,1
319,1,1
320,1,0
321,1,1
322,1,1
323,1,1
324,0,1
325,1,1
326,1,0
327,1,1
328,1,1
329,1,0
330,1,0
331,1,1
332,1,0
333,1,1
334,1,0
335,1,1
336,1,1
337,0,1
338,1,1
339,0,1
340,1,1
341,1,0
342,1,0
343,1,1
344,1,1
345,0,0
346,1,1
347,1,0
348,1,1
349,1,1
350,1,1
351,1,1
352,0,1
353,1,1
354,1,1
355,0,1
356,1,1
357,1,1
358,1,0
359,1,0
360,1,1
361,1,1
362,1,1
363,1,1
364,1,1
365,1,1
366,1,1
367,1,1
368,1,1
369,1,1
370,1,1
371,1,1
372,1,0
373,1,0
374,1,1
375,0,0
376,0,0
377,1,1
378,1,1
379,1,0
380,0,0
381,0,1
382,1,1
383,0,0
384,1,0
385,1,1
386,1,1
387,0,1
388,1,0
389,1,0
390,1,1
391,1,1
392,0,0
393,1,0
394,1,1
395,1,1
396,1,0
397,1,1
398,0,1
399,0,1
400,1,1
401,0,1
402,1,1
403,1,1
404,1,1
405,1,1
406,0,1
407,1,1
408,0,0
409,0,0
410,1,1
411,1,1
412,1,0
413,1,1
414,1,0
415,1,0
416,1,0
417,0,1
418,0,0
419,1,0
420,1,0
421,1,1
422,1,1
423,1,1
424,0,1
425,0,0
426,1,1
427,1,0
428,1,0
429,1,1
430,0,0
431,1,0
432,0,0
433,1,1
434,0,1
435,1,0
436,1,1
437,1,1
438,1,1
439,1,1
440,1,1
441,0,1
442,1,0
443,1,1
444,1,1
445,0,1
446,1,1
447,1,1
448,0,0
449,1,1
450,1,0
451,1,1
452,0,0
453,0,1
454,1,0
455,1,1
456,1,1
457,1,1
458,1,0
459,0,1
460,1,1
461,1,0
462,1,1
463,1,1
464,1,0
465,1,1
466,0,1
467,1,1
468,1,1
469,1,0
470,0,1
471,1,1
472,0,1
473,1,1
474,1,1
475,1,1
476,1,1
477,1,1
478,1,1
479,1,0
480,1,1
481,1,1
482,1,0
483,1,1
484,1,1
485,1,1
486,1,1
487,1,1
488,1,0
489,0,0
490,1,1
491,1,1
492,1,1
493,1,0
494,1,0
495,1,1
496,1,1
497,1,1
498,1,1
499,1,1
500,1,0
501,1,1
502,0,0
503,1,1
504,1,1
505,1,0
506,1,1
507,1,0
508,1,0
509,1,1
510,1,1
511,0,0
512,0,0
513,1,0
514,1,1
515,1,0
516,1,1
517,1,1
518,1,1
519,1,1
520,1,1
521,1,0
522,1,1
523,1,1
524,1,1
525,1,1
526,1,0
527,1,1
528,1,0
529,1,1
530,1,1
531,0,1
532,1,1
533,1,1
534,1,1
535,1,1
536,0,0
537,1,0
538,1,0
539,0,1
540,0,1
541,0,0
542,1,1
543,0,0
544,1,0
545,1,1
546,1,0
547,0,0
548,1,1
549,1,0
550,0,1
551,1,1
552,1,0
553,0,1
554,1,1
555,1,1
556,1,1
557,0,1
558,1,1
559,1,0
560,0,0
561,1,0
562,1,0
563,1,1
564,1,0
565,1,1
566,1,1
567,0,1
568,1,1
569,1,0
570,1,1
571,0,0
572,0,0
573,1,1
574,1,0
575,1,1
576,1,1
577,0,0
578,0,1
579,1,1
580,0,1
581,1,1
582,1,1
583,1,1
584,1,0
585,1,1
586,0,0
587,1,1
588,0,0
589,1,0
590,1,1
591,0,0
592,1,0
593,1,1
594,1,0
595,0,1
596,0,0
597,1,1
598,0,0
599,0,1
600,1,1
601,1,1
602,1,1
603,1,1
604,1,1
605,1,1
606,1,1
607,1,0
608,1,0
609,1,0
610,1,1
611,1,1
612,1,1
613,1,1
614,1,1
615,1,1
616,1,1
617,1,1
618,0,1
619,1,1
620,0,0
621,1,0
622,1,1
623,1,1
624,1,0
625,0,0
626,0,1
627,1,1
628,0,1
629,1,0
630,1,0
631,1,1
632,1,0
633,0,0
634,1,0
635,1,1
636,1,1
637,1,1
638,1,1
639,1,1
640,1,0
641,1,1
642,1,1
643,0,1
644,1,1
645,1,0
646,0,0
647,1,1
648,1,1
649,1,0
650,0,1
651,1,1
652,1,0
653,0,0
654,1,0
655,0,1
656,1,1
657,0,1
658,0,0
659,1,1
660,1,1
661,1,0
662,1,1
663,1,1
664,1,1
665,0,0
666,1,1
667,1,1
668,1,0
669,1,1
670,1,1
671,1,0
672,1,1
673,1,1
674,1,1
675,1,1
676,1,0
677,1,0
678,1,1
679,1,0
680,0,0
681,1,1
682,1,1
683,1,1
684,1,1
685,0,0
686,1,1
687,1,1
688,1,1
689,1,1
690,0,0
691,1,1
692,1,1
693,1,0
694,1,1
695,1,1
696,1,1
697,0,1
698,1,1
699,1,0
700,1,1
701,1,1
702,1,1
703,1,1
704,0,0
705,1,1
706,1,1
707,0,0
708,0,0
709,0,0
710,1,1
711,1,1
712,0,0
713,1,0
714,0,0
715,1,0
716,1,1
717,1,1
718,1,1
719,1,1
720,0,0
721,1,1
722,1,1
723,1,1
724,1,1
725,1,1
726,1,1
727,1,1
728,1,1
